"DEXUS INDUSTRIA REIT.","DXI",
"DEXUS","DXS",
"EBOS GROUP LIMITED","EBO",
"ECLIPX GROUP LIMITED","ECX",
"ENDEAVOUR GROUP LIMITED","EDV",
"ENERO GROUP LIMITED","EGG",
"ESTIA HEALTH LIMITED","EHE",
"ELDERS LIMITED","ELD",
"ELMO SOFTWARE LIMITED","ELO",
"ELANOR INVESTORS GROUP","ENN",
"EQT HOLDINGS LIMITED","EQT",
"BETASHARES CLIMATE CHANGE INNOVATION ETF","ERTH",
"VANECK VIDEO GAMING AND ESPORTS ETF","ESPO",
"BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF","ETHI",
"EVOLUTION MINING LIMITED","EVN",
"EVENT HOSPITALITY AND ENTERTAINMENT LTD","EVT",
"EUROZ HARTLEYS GROUP LIMITED","EZL",
"BETASHARES FTSE 100 ETF","F100",
"BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF","FAIR",
"ETFS FANG+ ETF","FANG",
"FLETCHER BUILDING LIMITED","FBU",
"FIDUCIAN GROUP LIMITED","FID",
"VANECK AUSTRALIAN FLOATING RATE ETF","FLOT",
"FLIGHT CENTRE TRAVEL GROUP LIMITED","FLT",
"FORTESCUE METALS GROUP LTD","FMG",
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","FPH",
"BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED","FUEL",
"GARDA PROPERTY GROUP","GDF",
"VANECK GOLD MINERS ETF","GDX",
"BETASHARES GEARED AUSTRALIAN EQUITY FUND (HEDGE FUND)","GEAR",
"GLOBE INTERNATIONAL LIMITED","GLB",
"GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED","GMA",
"GOODMAN GROUP","GMG",
"GRAINCORP LIMITED","GNC",
"GR ENGINEERING SERVICES LIMITED","GNG",
"ETFS METAL SECURITIES AUSTRALIA LIMITED.","GOLD",
"GROWTHPOINT PROPERTIES AUSTRALIA","GOZ",
"GPT GROUP","GPT",
"G.U.D. HOLDINGS LIMITED","GUD",
"GWA GROUP LIMITED.","GWA",
"BETASHARES GLOBAL CYBERSECURITY ETF","HACK",
"HASTINGS TECHNOLOGY METALS LTD","HAS",
"BETASHARES ACTIVE AUSTRALIAN HYBRIDS FUND (MANAGED FUND)","HBRD",
"ETFS HYDROGEN ETF","HGEN",
"HELLOWORLD TRAVEL LIMITED","HLO",
"HEALIUS LIMITED","HLS",
"HEARTS AND MINDS INVESTMENTS LIMITED","HM1",
"HOME CONSORTIUM LIMITED","HMC",
"HOTEL PROPERTY INVESTMENTS","HPI",
"HANSEN TECHNOLOGIES LIMITED","HSN",
"HUB24 LIMITED","HUB",
"HARVEY NORMAN HOLDINGS LIMITED","HVN",
"ISHARES CORE COMPOSITE BOND ETF","IAF",
"INSURANCE AUSTRALIA GROUP LIMITED","IAG",
"INTEGRAL DIAGNOSTICS LIMITED","IDX",
"IDP EDUCATION LIMITED","IEL",
"ISHARES MSCI EMERGING MARKETS ETF","IEM",
"ISHARES EUROPE ETF","IEU",
"INSIGNIA FINANCIAL LTD","IFL",
"INFOMEDIA LTD","IFM",
"VANECK FTSE GLOBAL INFRASTRUCTURE (HEDGED) ETF","IFRA",
"IGO LIMITED","IGO",
"ISHARES GOVERNMENT INFLATION ETF","ILB",
"ILUKA RESOURCES LIMITED","ILU",
"IMDEX LIMITED","IMD",
"EINVEST BETTER FUTURE FUND (MANAGED FUND)","IMPQ",
"INGENIA COMMUNITIES GROUP","INA",
"INGHAMS GROUP LIMITED","ING",
"IPH LIMITED","IPH",
"INCITEC PIVOT LIMITED","IPL",
"IRESS LIMITED","IRE",
"INVOCARE LIMITED","IVC",
"ISHARES S&P 500 ETF","IVV",
"ISHARES GLOBAL CONSUMER STAPLES ETF","IXI",
"ISHARES GLOBAL HEALTHCARE ETF","IXJ",
"JB HI-FI LIMITED","JBH",
"JANUS HENDERSON GROUP PLC","JHG",
"JAMES HARDIE INDUSTRIES PLC","JHX",
"JUMBO INTERACTIVE LIMITED","JIN",
"JOHNS LYNG GROUP LIMITED","JLG",
"KAROON ENERGY LTD","KAR",
"KOGAN.COM LTD","KGN",
"KELSIAN GROUP LIMITED","KLS",
"LIBERTY FINANCIAL GROUP","LFG",
"LYNCH GROUP HOLDINGS LIMITED","LGL",
"LIFESTYLE COMMUNITIES LIMITED","LIC",
"LENDLEASE GROUP","LLC",
"LOVISA HOLDINGS LIMITED","LOV",
"LARK DISTILLING CO. LTD","LRK",
"L1 LONG SHORT FUND LIMITED","LSF",
"LYNAS RARE EARTHS LIMITED","LYC",
"MADER GROUP LIMITED","MAD",
"MA FINANCIAL GROUP LIMITED","MAF",
"MACQUARIE TELECOM GROUP LIMITED","MAQ",
"MINCOR RESOURCES NL","MCR",
"MAGELLAN FINANCIAL GROUP LIMITED","MFG",
"MAAS GROUP HOLDINGS LIMITED","MGH",
"MIRVAC GROUP","MGR",
"MINERAL RESOURCES LIMITED","MIN",
"MCMILLAN SHAKESPEARE LIMITED","MMS",
"MONADELPHOUS GROUP LIMITED","MND",
"MONEY3 CORPORATION LIMITED","MNY",
"MEGAPORT LIMITED","MP1",
"MEDIBANK PRIVATE LIMITED","MPL",
"MACQUARIE GROUP LIMITED","MQG",
"METCASH LIMITED","MTS",
"VANECK AUSTRALIAN PROPERTY ETF","MVA",
"VANECK AUSTRALIAN EQUAL WEIGHT ETF","MVW",
"MYSTATE LIMITED","MYS",
"NATIONAL AUSTRALIA BANK LIMITED","NAB",
"NANOSONICS LIMITED","NAN",
"NICK SCALI LIMITED","NCK",
"NEWCREST MINING LIMITED","NCM",
"NEW CENTURY RESOURCES LIMITED","NCZ",
"BETASHARES NASDAQ 100 ETF","NDQ",
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED","NEC",
"NEUREN PHARMACEUTICALS LIMITED","NEU",
